id,name
51,Kreissparkasse Göppingen
220,Sparkasse Merzig-Wadern
400,Stadtsparkasse Blomberg/Lippe
96,Sparkasse Zollernalb
113,OstseeSparkasse Rostock
177,Sparkasse Bad Hersfeld-Rotenburg
20,Kreissparkasse Esslingen-Nürtingen
384,Stadtsparkasse Sprockhövel
261,Sparkasse Wittenberg
319,Sparkasse Bühl
271,Sparkasse Attendorn-Lennestadt-Kirchhundem
334,Sparkasse Schopfheim-Zell
339,Stadtsparkasse Bad Oeynhausen
272,Sparkasse Gummersbach-Bergneustadt
111,Kreissparkasse Heinsberg
313,Sparkasse Wittgenstein
163,Weser-Elbe Sparkasse
372,Stadtsparkasse Bad Honnef
337,Stadtsparkasse Dessau
371,Sparkasse Einbeck
102,Sparkasse Emsland
310,Stadtsparkasse Gevelsberg
121,Sparkasse Tauberfranken
229,Sparkasse der Stadt Iserlohn
240,Sparkasse Höxter
123,Kreissparkasse Syke
172,Sparkasse Aurich-Norden
148,Harzsparkasse
182,Sparkasse Baden-Baden Gaggenau
300,Sparkasse Haslach-Zell
279,Stadtsparkasse Bottrop
35,Kreissparkasse Biberach
327,Verbundsparkasse Emsdetten-Ochtrup
414,Stadtsparkasse Borken
260,Kreissparkasse Altenkirchen
390,Stadtsparkasse Schmallenberg
189,Sparkasse Gütersloh
38,Nord-Ostsee Sparkasse
330,Sparkasse Jerichower Land
185,Sparkasse Lüdenscheid
48,Sparkasse Südholstein
274,Sparkasse Märkisches Sauerland Hemer-Menden
409,Sparkasse Laubach-Hungen
320,Kreissparkasse Saale-Orla
347,Sparkasse Kierspe-Meinerzhagen
85,Kreissparkasse Saarlouis
198,Kreissparkasse Anhalt-Bitterfeld
294,Stadtsparkasse Bocholt
141,Kreissparkasse Verden
254,Sparkasse Donnersberg
406,Sparkasse Finnentrop
46,Sparkasse Ulm
127,Kreissparkasse Rottweil
385,Stadtsparkasse Lengerich
301,Kreissparkasse Walsrode
44,Sparkasse Freiburg - Nördlicher Breisgau
206,Kreissparkasse Ahrweiler
386,Sparkasse Rietberg
307,Sparkasse Wilhelmshaven
323,Stadtsparkasse Emmerich-Rees
11,Sparkasse Pforzheim Calw
212,Kreissparkasse Mayen
416,Stadtsparkasse Bad Sachsa
195,Kreissparkasse Freudenstadt
403,Stadtsparkasse Freudenberg
413,Sparkasse Battenberg
164,Sparkasse Waldeck-Frankenberg
199,Verbands-Sparkasse Wesel
125,Sparkasse Singen-Radolfzell
222,Vereinigte Sparkasse im Märkischen Kreis
399,Stadtsparkasse Versmold
175,Sparkasse Witten
234,Kreissparkasse Stade
343,Sparkasse Pfullendorf-Messkirch
376,Sparkasse Bonndorf-Stühlingen
218,Sparkasse Hohenlohekreis
252,Stadt-Sparkasse Langenfeld
348,Stadtsparkasse Schwerte
332,Kreissparkasse Vulkaneifel
395,Sparkasse Schönau-Todtnau
381,Stadtsparkasse Wunstorf
361,Sparkasse Radevormwald-Hückeswagen
398,Stadtsparkasse Barsinghausen
112,Kreissparkasse Tuttlingen
215,Sparkasse Dinslaken-Voerde-Hünxe
393,Sparkasse St. Blasien
419,Berliner Sparkasse
500,Sparkasse Westerwald-Sieg
501,Sparkasse an der Lippe
502,Niederrheinische Sparkasse RheinLippe
503,Sparkasse Hegau-Bodensee 
504,Sparkasse Hameln-Weserbergland 
1,Hamburger Sparkasse AG
4,Frankfurter Sparkasse
196,Sparkasse Mittelholstein AG
