annotation,id,value2,value3,value,value4
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,365,10.999,10.999,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,158,10.990,10.990,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",127,10.990,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,270,10.980,15.980,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",254,10.970,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,155,10.960,15.610,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,154,10.960,10.960,0.000,0.010
Die Guthaben-Zinsen gelten ab einem Guthaben von 2.000 Euro. Den Preisaushang haben wir erhalten.,131,10.950,16.450,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,32,10.950,15.070,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,144,10.950,10.950,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,330,10.950,10.950,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,369,10.950,10.950,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,338,10.940,10.940,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,12,10.920,15.420,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,85,10.920,10.920,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,114,10.900,15.900,0.000,0.025
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,358,10.900,14.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,41,10.900,10.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,337,10.900,10.900,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,356,10.900,10.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,381,10.900,10.900,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",304,10.900,,,
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",360,10.900,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,92,10.890,16.390,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,239,10.890,15.890,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,5,10.890,10.890,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,212,10.870,14.870,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,163,10.860,11.990,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,123,10.850,16.350,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,226,10.850,16.350,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,160,10.850,13.600,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,198,10.840,10.840,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,502,10.830,15.830,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,65,10.820,10.820,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,3,10.810,10.810,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,29,10.810,10.810,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,139,10.800,10.800,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,259,10.800,10.800,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,134,10.780,15.280,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,48,10.770,10.770,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,500,10.750,15.250,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,20,10.750,10.750,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,313,10.710,13.960,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,22,10.710,10.710,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,246,10.700,15.700,0.000,0.150
