id,name,slug
230,Kreissparkasse Bautzen,kreissparkasse_bautzen
174,Sparkasse Gera-Greiz,sparkasse_gera_greiz
137,Stadtsparkasse Oberhausen,stadtsparkasse_oberhausen
130,Sparkasse Mülheim an der Ruhr,sparkasse_muelheim_an_der_ruhr
140,Sparkasse Meißen,sparkasse_meissen
38,Nord-Ostsee Sparkasse,nord_ostsee_sparkasse
229,Sparkasse der Stadt Iserlohn,sparkasse_der_stadt_iserlohn
333,Stadtsparkasse Hameln,stadtsparkasse_hameln
115,Sparkasse Oberlausitz-Niederschlesien,sparkasse_oberlausitz_niederschlesien
406,Sparkasse Finnentrop,sparkasse_finnentrop
416,Stadtsparkasse Bad Sachsa,stadtsparkasse_bad_sachsa
285,Sparkasse Bad Neustadt a.d. Saale,sparkasse_bad_neustadt_a_d_saale
173,Kreissparkasse Heidenheim,kreissparkasse_heidenheim
219,Hohenzollerische LdBk KSK Sigmaringen,hohenzollerische_ldbk_ksk_sigmaringen
322,Sparkasse Elmshorn,sparkasse_elmshorn
11,Sparkasse Pforzheim Calw,sparkasse_pforzheim_calw
83,Sparkasse Fulda,sparkasse_fulda
383,Sparkasse Nördlingen,sparkasse_noerdlingen
314,Bezirkssparkasse Reichenau,bezirkssparkasse_reichenau
97,Sparkasse Hilden Ratingen Velbert,sparkasse_hilden_ratingen_velbert
62,Sparkasse Rosenheim-Bad Aibling,sparkasse_rosenheim_bad_aibling
148,Harzsparkasse,harzsparkasse
194,Kreissparkasse Kusel,kreissparkasse_kusel
275,Kreis- und Stadtsparkasse Dillingen,kreis_und_stadtsparkasse_dillingen
200,Kreissparkasse Euskirchen,kreissparkasse_euskirchen
121,Sparkasse Tauberfranken,sparkasse_tauberfranken
259,Sparkasse Freising,sparkasse_freising
129,Sparkasse Mittelmosel Eifel Mosel Hunsrück,sparkasse_mittelmosel_eifel_mosel_hunsrueck
63,Stadt- und Kreissparkasse Darmstadt,stadt_und_kreissparkasse_darmstadt
242,Kreissparkasse Rhein-Hunsrück,kreissparkasse_rhein_hunsrueck
213,Kreissparkasse Grafschaft Bentheim zu Nordhorn,kreissparkasse_grafschaft_bentheim_zu_nordhorn
367,Sparkasse Mecklenburg-Strelitz,sparkasse_mecklenburg_strelitz
99,Sparkasse Vorpommern,sparkasse_vorpommern
224,Sparkasse Rastatt-Gernsbach,sparkasse_rastatt_gernsbach
70,Sparkasse Trier,sparkasse_trier
71,Sparkasse Aschaffenburg-Alzenau,sparkasse_aschaffenburg_alzenau
341,Sparkasse Freyung-Grafenau,sparkasse_freyung_grafenau
165,Sparkasse Mainz,sparkasse_mainz
342,Sparkasse Werl,sparkasse_werl
305,Kreissparkasse Weilburg,kreissparkasse_weilburg
69,Sparkasse Offenburg/Ortenau,sparkasse_offenburg_ortenau
39,Sparkasse Bochum,sparkasse_bochum
266,Sparkasse Dillenburg,sparkasse_dillenburg
504,Sparkasse Hameln-Weserbergland,sparkasse_hameln_weserbergland
