value2,value4,value3,value,id,annotation
10.450,0.050,0.000,10.450,229,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.450,0.050,0.000,10.450,281,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.470,0.010,0.000,15.470,136,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.470,0.050,0.000,10.470,46,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.488,0.010,0.000,10.488,15,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.489,0.050,0.000,10.489,33,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.490,0.050,0.000,15.490,194,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.500,0.010,0.000,15.500,202,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.500,0.050,0.000,10.500,63,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.500,0.050,0.000,10.500,102,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.500,0.050,0.000,10.500,108,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.500,0.050,0.000,10.500,419,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.510,0.020,0.000,10.510,120,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.540,0.050,0.000,10.540,303,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.550,0.050,0.000,10.550,52,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.570,0.010,0.000,14.570,344,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.590,0.050,0.000,15.590,263,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.590,0.100,0.000,10.590,182,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.600,0.010,0.000,10.600,97,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.600,0.015,0.000,15.850,410,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.620,0.030,0.000,13.120,2,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.620,0.050,0.000,10.620,37,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.630,0.050,0.000,14.630,56,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.630,0.050,0.000,10.630,71,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.650,0.010,0.000,10.650,19,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.650,0.015,0.000,10.650,283,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.650,0.050,0.000,16.650,141,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.650,0.050,0.000,10.650,256,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.650,0.100,0.000,10.650,35,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.650,0.150,0.000,10.650,1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.670,0.020,0.000,10.670,49,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.670,0.020,0.000,10.670,93,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.675,0.010,0.000,14.675,47,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.680,0.010,0.000,14.180,204,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.680,0.010,0.000,10.680,396,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.680,0.050,0.000,10.680,217,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.680,0.050,0.000,10.680,312,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
