id,value2,value3,value4,value,annotation
129,10.17,10.17,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
349,10.19,15.69,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
276,10.2,10.2,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
285,10.2,14.2,0,0.03,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
329,10.2,15.2,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
216,10.21,15.21,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
73,10.22,15.22,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
82,10.27,15.27,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
355,10.27,10.27,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
13,10.28,10.28,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
181,10.28,15.28,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
251,10.3,10.3,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
504,10.3,10.3,0,0.01,Die Guthaben-Verzinsung gilt erst ab 1.000 Euro im Modell „Tagesgeld Online.“ Von dieser Sparkasse haben wir einen Preisaushang erhalten.
237,10.35,10.35,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
368,10.35,10.35,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
201,10.36,15.36,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
179,10.37,15.37,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
118,10.37,14.87,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
242,10.38,15.38,0,0.025,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
386,10.39,15.89,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
26,10.39,13.39,0,0.05,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent."
107,10.39,10.39,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
80,10.41,10.41,0,0.15,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
345,10.43,10.43,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
288,10.438,12.438,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
193,10.45,10.45,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
229,10.45,10.45,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
281,10.45,10.45,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
136,10.47,15.47,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
46,10.47,10.47,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
15,10.488,10.488,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
33,10.489,10.489,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
194,10.49,15.49,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
202,10.5,15.5,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
63,10.5,10.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
102,10.5,10.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
108,10.5,10.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
419,10.5,10.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
120,10.51,10.51,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
303,10.54,10.54,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
52,10.55,10.55,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
