id,slug
125,sparkasse_singen_radolfzell
407,sparkasse_geseke
361,sparkasse_radevormwald_hueckeswagen
198,kreissparkasse_anhalt_bitterfeld
413,sparkasse_battenberg
102,sparkasse_emsland
318,sparkasse_uckermark
164,sparkasse_waldeck_frankenberg
169,sparkasse_neuwied
32,sparkasse_saarbruecken
155,sparkasse_bayreuth
189,sparkasse_guetersloh
295,kreissparkasse_soltau
74,sparkasse_chemnitz
135,sparkasse_lueneburg
207,sparkasse_hamm
337,stadtsparkasse_dessau
42,sparkasse_bielefeld
19,landessparkasse_zu_oldenburg
110,kreissparkasse_mittelsachsen
128,sparkasse_zwickau
397,sparkasse_gruenberg
227,kreissparkasse_boerde
202,sparkasse_werra_meissner
262,stadtsparkasse_rheine
72,sparkasse_regensburg
92,kreissparkasse_steinfurt
418,sparkasse_unna
415,stadtsparkasse_felsberg
138,sparkasse_schaumburg
4,frankfurter_sparkasse
27,kreissparkasse_waiblingen
307,sparkasse_wilhelmshaven
161,sparkasse_neckartal_odenwald
48,sparkasse_suedholstein
159,sparkasse_burgenlandkreis
201,sparkasse_germersheim_kandel
402,stadtsparkasse_delbrueck
211,sparkasse_nienburg
205,sparkasse_rottal_inn
346,stadt_sparkasse_haan
256,sparkasse_lippstadt
308,sparkasse_altmark_west
277,kreissparkasse_gelnhausen
292,kreissparkasse_gotha
323,stadtsparkasse_emmerich_rees
142,sparkasse_schweinfurt
124,kreissparkasse_gross_gerau
391,stadtsparkasse_voelklingen
184,sparkasse_mecklenburg_schwerin
231,wartburg_sparkasse
289,sparkasse_arnstadt_ilmenau
326,sparkasse_salem_heiligenberg
118,sparkasse_spree_neisse
79,sparkasse_ingolstadt
66,sparkasse_allgaeu
156,kreis_und_stadtsparkasse_unna_kamen
147,sparkasse_zu_luebeck_ag
222,vereinigte_sparkasse_im_maerkischen_kreis
107,sparkasse_suedliche_weinstrasse
373,stadtsparkasse_bad_pyrmont
25,kreissparkasse_boeblingen
196,sparkasse_mittelholstein_ag
300,sparkasse_haslach_zell
24,kreissparkasse_heilbronn
166,sparkasse_bad_toelz_wolfratshausen
409,sparkasse_laubach_hungen
28,sparkasse_karlsruhe_ettlingen
199,verbands_sparkasse_wesel
