plz,id
10247,419
26556,139
48496,92
17493,99
94143,341
64401,149
98596,216
75196,11
27449,234
55494,242
53859,3
09392,64
41061,58
08062,128
70806,16
85598,15
55131,165
35091,94
51109,2
44227,22
86956,336
66352,32
18519,99
76351,28
53127,2
74177,24
23795,48
33699,42
74372,16
97522,283
79695,395
55559,81
85134,79
24976,38
78606,112
04420,17
55765,263
41751,21
73565,55
57368,271
37127,392
82278,95
22955,45
26899,102
28237,9
47800,21
94157,341
76872,201
74206,24
24855,38
25776,349
56642,212
87766,75
71131,25
34117,50
25370,48
55437,81
04824,317
91619,190
61200,54
89231,181
28239,9
66663,220
65201,10
48480,102
82024,15
86660,304
09366,64
46149,137
29367,108
67691,77
54608,257
58454,175
74395,16
86980,66
23974,290
87757,75
98704,289
65936,4
30165,6
39340,227
17235,367
12355,419
22309,1
97259,26
30457,6
01257,7
67373,37
85053,79
53129,2
14929,12
39175,330
86675,304
54689,257
25855,38
86504,47
89567,173
53894,200
14467,12
58453,175
69439,161
52222,14
28307,9
97956,121
89584,46
22765,1
67757,194
97842,26
44225,22
65366,10
75339,11
91096,60
64750,232
13591,419
16767,12
41236,58
09232,110
17033,276
16766,12
13055,419
15295,136
32832,31
77955,69
72296,195
95355,152
37299,202
46240,279
67471,80
04600,302
54662,257
04703,325
73433,55
45307,23
29476,176
19217,290
47229,43
68161,49
29399,108
21220,88
06686,159
97241,26
84144,90
66507,167
41849,111
31139,65
08412,128
99102,73
56656,206
50969,2
91586,119
08523,109
85283,286
25746,349
86830,101
97276,26
04610,302
70825,16
78727,127
73347,51
39110,157
25836,38
36043,83
75328,11
91593,190
40595,8
56191,68
04356,17
20249,1
08267,109
96173,84
96369,152
07616,192
85098,79
67705,77
31711,138
93049,72
91734,340
29413,308
91610,366
99817,231
98746,284
04736,325
53881,200
78132,300
37075,122
80636,5
91438,190
24813,38
39326,227
32049,57
42859,246
59192,360
13359,419
53844,3
90617,114
49774,102
54459,70
87463,66
84576,145
07927,320
63589,277
67813,254
19406,353
22307,1
31675,138
92421,179
65933,4
42107,29
30938,6
75057,76
63762,71
66976,167
53123,2
92364,162
23779,45
28217,9
84072,193
10319,419
79189,273
14050,419
23972,290
36369,54
97534,142
99759,296
56567,169
66851,77
95488,155
38640,248
93149,179
27755,19
04827,317
73434,55
93182,72
47228,43
44141,22
85290,286
63549,59
97084,26
55263,81
97082,26
35110,164
65346,10
21726,234
71394,27
72631,20
73207,20
31171,65
93059,72
42289,29
90766,114
39443,150
85095,298
25863,38
37284,202
32339,144
75334,11
83334,180
66125,32
86853,101
26810,139
63691,54
30163,6
04328,17
95469,249
23715,45
46354,33
09243,74
25709,100
79736,126
66620,293
97517,250
21337,135
67827,81
55430,242
57319,313
24116,34
84092,90
35325,54
23843,45
48161,18
78655,127
04931,209
38268,235
01099,7
92259,178
35713,266
17491,99
21256,88
85457,186
25479,48
74078,24
97688,250
08239,109
73466,55
98590,216
95236,86
77776,382
24809,34
24616,100
85413,359
99991,291
52355,93
71522,27
23627,120
29351,143
76751,201
79589,153
47661,21
75179,11
52499,14
67165,37
91365,217
91247,13
89362,210
34121,50
91077,217
79429,154
88279,56
90449,13
50226,3
97633,285
07586,174
97535,142
74405,105
45964,335
92265,178
25551,100
51766,3
34477,164
95100,86
54687,257
25379,100
25873,38
29451,176
64354,149
81241,5
10587,419
37214,202
92275,178
04849,17
54529,257
14669,12
03055,118
18198,113
03172,118
90482,13
63916,188
71636,16
97762,250
97513,142
97421,142
25715,100
97999,121
06458,148
67473,80
01936,7
10789,419
25866,38
67161,80
02979,7
92539,179
86316,47
91807,87
06780,198
21785,163
25926,38
24247,338
23777,45
37199,324
82496,288
87490,66
83451,233
95515,155
85417,259
09669,110
98574,216
74547,105
27232,226
96182,84
79650,334
58636,229
98630,370
33619,42
97461,283
10551,419
63863,188
33813,117
92287,178
54538,129
78567,112
56584,169
29394,176
96110,84
66798,85
37191,278
84175,90
91207,13
37218,202
18546,99
26386,307
65462,124
79400,154
24817,38
60598,4
83342,180
58239,348
49549,92
24118,34
83395,233
63579,277
94336,82
96114,84
09224,74
78661,127
85131,298
26553,172
18239,113
71093,25
63776,71
55490,242
79100,44
85764,15
29465,176
79256,297
87439,66
71277,25
24999,38
35649,160
51674,331
72539,53
49448,226
91099,217
76703,76
67150,80
21706,234
36414,231
44651,197
38179,108
73072,51
12057,419
27809,19
95126,86
93092,72
24402,38
85129,79
65193,10
37216,202
72189,127
93186,72
96277,152
91220,13
50171,3
10318,419
92266,178
23818,48
71063,25
84489,145
76689,76
13437,419
56276,169
34260,50
25582,100
02957,115
48147,18
95466,155
87665,253
85635,15
14776,12
27721,258
44809,39
73108,51
24882,38
91792,87
72810,52
40229,8
17506,99
69259,30
83362,180
07778,192
35041,94
46569,502
89150,46
51515,3
19230,184
86169,47
01662,140
