id,anzahl_vorstaende_2014,anmerkungen_2014,bilanzsumme_2014,gesamtbezuege_2014,durchschnitt_2014
49,3.5,,4623953596.0,1649000.0,471142.85714285716
48,2.33,Gewinnabführungsvertrag über den 6520000 € abgeführt werden,4959556994.0,903000.0,387553.64806866954
47,3.0,,5428738138.0,1248000.0,416000.0
46,3.0,,5566335972.0,1098000.0,366000.0
43,5.0,,5418597391.0,2047000.0,409400.0
42,3.0,,5791222382.0,1337000.0,445666.6666666667
41,3.0,,5785035318.0,1006000.0,335333.3333333333
40,4.66,"Die Anzahl der Mitglieder des Vorstandes belief sich auf das gesamte Jahr gesehen auf 5, allerdings schieden währenddessen 2 Mitglieder aus und ein neues kam hinzu",5674332750.0,1597000.0,342703.86266094417
39,3.0,Kleines Bisschen Jahresüberschuss ist Gewinnvortrag in 2015,5894044567.13,1513000.0,504333.3333333333
37,6.0,Vom Jahresüberschuss wurden die restlichen 3799600 Euro auf das Stammkapital ausgeschüttet. ,5729385068.0,2378000.0,396333.3333333333
36,4.0,,6307270385.0,1515800.0,378950.0
34,4.0,,6493306775.0,1816000.0,454000.0
33,4.0,,6436831813.0,1787800.0,446950.0
32,4.0,,6763260694.0,1198000.0,299500.0
31,4.0,,6474158201.0,1765000.0,441250.0
29,2.0,,6927909473.0,1557000.0,778500.0
28,4.0,,7198239544.0,1491000.0,372750.0
26,4.0,4 Stiftungen vorhanden,7198710983.0,1505000.0,376250.0
23,4.0,,7984179318.0,2086900.0,521725.0
22,4.0,,8273505029.0,1988000.0,497000.0
21,3.0,1866,8218249711.12,1349040.05,449680.01666666666
19,4.0,,8411700000.0,1647000.0,411750.0
18,4.0,,8754200000.0,2224000.0,556000.0
17,3.0,,8828483145.58,1627000.0,542333.3333333334
16,3.0,Spenden mit Stiftungen,9810100000.0,1607000.0,535666.6666666666
15,4.0,,10222300000.0,1938000.0,484500.0
14,5.0,,10019300000.0,2724000.0,544800.0
13,4.0,,10286000000.0,1700000.0,425000.0
12,4.0,"""Spenden"" bezeichnet nur die Aufstockung des Stiftungskapitals",11018054903.58,1560000.0,390000.0
10,4.0,Position 17 aus GuV ist beim Zinsüberschuss drauf gerechnet. Bei der 'Zinsspanne' im Dokument ist sie abgezogen,10803000000.0,1847000.0,461750.0
9,4.0,"Da es sich bei der Bremer Sparkasse um eine AG handelt wurden die ~33,7 MIO € der Gewinnrücklage beigeführt, nicht der Sicherheitsrücklage und die 1,1 MIO € an die hauseigene Finanzholding ausgeschüttet (So der Vorschlag an die Hauptversammlung)",10952618252.94,2400000.0,600000.0
8,4.0,"Die SSK Düsseldorf befindet sich in einem Rechtsstreit um die Ausschüttung des Bilanzgewinnes, daher wurde der Jahresabschluss aus dem die Daten stammen auch noch nicht vom Verwaltungsrat gebilligt",11509239079.33,1909231.95,477307.9875
7,3.0,,11859160000.0,1606000.0,535333.3333333334
6,3.6,,13600857866.0,2246000.0,623888.8888888889
5,5.0,,16441700000.0,2451000.0,490200.0
4,4.0,,17707410000.0,2452000.0,613000.0
3,5.0,,23104636113.0,3521400.0,704280.0
2,5.0,"Es besteht ein Teilgewinnabführungsvertrag über den 39,5 Mio € abgeführt wurden",27395000000.0,2563800.0,512760.0
1,5.0,,41947393000.0,4200000.0,840000.0
419,6.0,,57421194000.0,3911000.0,651833.3333333334
